doc_num,"entreprise,service,permettre,mettre,projet","trimestre,million,consolide,dh,milliard","prix,alimentaire,produit,hausse,production","certification,transitaire,cargo,compagnie,aerien","berd,banque,developpement,climatique,europeenn","mmdh,recette,mars,flux,office","erum,textile,cintre,mezzour,industriel","circulaire,dechet,eau,conseil,menager","dh,milliard,fin,credit,bancaire","destination,compagnie,tourisme,vol,voyage"
0,0.03974548693328232,0.012797843425753536,0.0,0.006388076686033589,0.2004786058661084,0.0,0.011646724629766863,0.0,0.04907755678688772,0.0844803348007546
1,0.0,0.0,0.0,0.0,0.004616644556346437,0.0,0.0,0.0,0.4844253667571215,0.0
2,0.2424584719480283,0.0,0.020290597054325524,0.01885208621915786,0.0376206392442936,1.908120665184665e-06,0.0,0.0049353751314954565,0.04430141965873483,0.0
3,0.02618680053628675,0.0,0.258143159151664,0.03558320395899038,0.010990060752374426,0.0,0.004084164032028265,0.002550313975174116,0.0,0.0
4,0.1271861211095173,0.0,0.020460101330990035,0.0,0.0,0.018097183955442266,0.0,0.00783205920782377,0.0,0.0
5,0.028793399973122497,0.0,0.0,0.0,0.0,0.30868217772540674,0.0,0.041262356494386886,0.056373534849218074,0.0
6,0.0,0.06947118152864924,0.0,0.0,0.0,0.0,0.0,0.0,0.4116355150627103,0.0
7,0.0,0.0,0.05816067967481653,0.0,0.0,0.028936011794673016,0.0953692897149229,0.0,0.13033853007381255,0.0
8,0.0,0.00023483162292610882,0.17241180703972686,0.0,0.08485503522503614,0.0,0.032065167500557934,0.0026720024080182595,0.0,0.019921948577335567
9,0.018565825041359927,0.2225610377014002,0.0,0.047827527772528015,0.0007559963510695052,0.0,0.02408727086037775,0.0,0.16275527780928484,0.0
10,0.0,0.00954708313266962,0.0,0.0,0.0,0.5432787563444029,0.0,0.0,0.0,0.0
11,0.014367833938777164,0.2912430106495132,0.02580692001495797,0.0,0.0,0.008037343687252244,0.0,0.0,0.04437233200300715,0.0
12,0.13127495135124184,0.012357970758226096,0.03922842590577097,0.0,0.0020440616730121805,0.0,0.0014573327940430626,0.0,0.0010066451316827877,0.055392219411813215
13,0.03922891496858097,0.002245807612451497,0.0,0.031440281101857294,0.0,0.02069687974730275,0.0,0.0,0.0,0.135091959998099
14,0.0401687239093777,0.029328437827567725,0.0,0.0,0.04634382037244065,0.0,0.0,0.0,0.03953209017203501,0.033020156674905175
15,0.09973213058389936,0.0,0.0,0.0,0.0,0.0,0.008491161421435717,0.0,0.0,0.0006555056393952182
16,0.0,0.27195179087148075,0.042012409355319406,0.0,0.0,0.0,0.0,0.0,0.024743510758391877,0.010469352916599438
17,0.0,0.21632457309068018,0.0,0.018566074355703493,0.019991737536112195,0.03576201641450813,0.0,0.04903618427024513,0.0,0.023302241953673333
18,0.0,0.07225295850124888,0.1822417494829571,0.0,0.0,0.08240714392573868,0.024713770593914292,0.0,0.07428779129294592,0.0
19,0.0038288751642830765,0.011592212378486774,0.050057162524229995,0.0,0.0,0.1227163952771449,0.0,0.0005132750071952182,0.14747897888229475,0.0
20,0.0,0.0,0.06026192939844531,0.0,0.0,0.12410622153877203,0.007131370779275615,0.0,0.0829793881148549,0.0
21,0.0,0.0,0.10329456053182516,0.0,0.0,0.07111144113445053,0.14030079086079944,0.0,0.0335347424039323,0.0
22,0.0,0.0,0.0,0.0,0.0,0.6216242114285766,0.0,0.0,0.0,0.0
23,0.0,0.013073661923150647,0.0,0.0,0.39162978043039537,0.0,0.0,0.0,0.010639042579829512,0.0
24,0.0,0.0,0.0,0.0,0.0,0.5177521289101852,0.0,0.0,0.0,0.0
