doc_num,"de,et,la,le,des","de,rapport,hausse,période,2022","pas,est,il,ne,pour","milliards,de,trimestre,crédits,fin","économie,banque,développement,de,la"
0,0.0647637081681398,0.0,0.056230137132758394,0.06463360622755619,0.187936916079836
1,0.0,0.0,0.030411078286451277,0.35378857673702685,0.0
2,0.04191231753513677,0.0,0.2767730665260063,0.005964886525965854,0.08288729512246192
3,0.0,0.027241584317264,0.18923523590386965,0.0,0.046416852281560284
4,0.041274607556443264,0.016655653089944437,0.1557522304806055,0.004108563145203232,0.03444959849128262
5,0.0,0.29186635403280003,0.015418168589633888,0.0,0.01867984531868776
6,0.0,0.0,0.0,0.386327212151563,0.0
7,0.02423767869380579,0.13851399910116186,0.115551930019591,0.020256439497743754,0.0
8,0.0,0.0303727006311848,0.15436018400696624,0.0,0.10234851282389264
9,0.044896549837726465,0.0,0.0,0.35922789265962185,0.0
10,0.0,0.47182348758539755,0.0,0.0,0.0
11,0.0,0.11553961738516551,0.051210952770650124,0.2038007697377637,0.0
12,0.13531330910717004,0.0,0.12953278472891205,0.006550550319376767,0.0
13,0.1304440181025,0.028899902088355852,0.0,0.0,0.0
14,0.10522937162162573,0.0,0.0,0.1123338988522426,0.032098798248780896
15,0.12195399712642964,0.0,0.06891110973030784,0.011791746960573604,0.005810129420439006
16,0.03043799521244092,0.20337322659778448,0.0004932417979361395,0.11902042798290391,0.0
17,0.059137782515800645,0.1198949529169634,0.0,0.12509606496328646,0.03797699173114661
18,0.0,0.20557187069884836,0.09157129591132249,0.06201719834836065,0.0
19,0.0,0.24776794852908357,0.021582136927150112,0.04564244378296699,0.030284513087116292
20,0.0,0.2647359990612982,0.007814425117470792,0.0,0.0
21,0.03974057469063571,0.21572867343656352,0.05492565026309027,0.0,0.0
22,0.0,0.47072534445672587,0.0,0.0,0.0
23,0.0,0.004847314251053115,0.0,0.04955741472237795,0.3759394858326545
24,0.0,0.3804035040149769,0.0,0.0,0.0
25,0.0,0.3997221838835109,0.0,0.0,0.0
26,0.06453207469519784,0.0,0.04268481306355727,0.10541639335425876,0.0
27,0.0,0.01649305158029592,0.27452936916626025,0.009383152075854224,0.0
28,0.0777539251571837,0.0,0.04962919935546112,0.023603448398146248,0.14334697211240408
29,0.09300189385560746,0.0,0.08947562797674707,0.013933545506292453,0.08039029490482895
30,0.0,0.0,0.12123077840904689,0.28047197145517516,0.0
31,0.038925802035626955,0.0,0.08658191723076974,0.0,0.14772035963282412
32,4.7836826993299715e-05,0.05377754342709345,0.2220389934028713,0.0,0.05904070193711241
33,0.0,0.06968090566817747,0.2856108467717003,0.0,0.0010959583465650156
34,0.017151909585702427,0.0,0.2198728456764885,0.014766794508818161,0.0
35,0.01965777435662346,0.020188911974307652,0.047072869008757824,0.02675851267897787,0.17289105929973622
36,0.032218980809764756,0.0035018408051678217,0.0851324346430721,0.02162448883845369,0.12802572674570561
37,0.12211412174857685,0.0,0.07346966272779942,0.010999574349419615,0.017325670780865436
38,0.10977551203195378,0.08411022738309774,0.010994730044360938,0.0,0.0
39,0.0,0.0,0.0,0.0465650606242447,0.31691758189891267
40,0.0,0.014639512061862554,0.24330409931153715,0.023582975038938726,0.005202479880074239
41,0.09890559242226497,0.0,0.05283839525673534,0.0,0.03463767995795626
42,0.0,0.19203263398138026,0.11243952747438779,0.0,0.0
43,0.12265971104937902,0.007385722085652013,0.026814305149935307,0.022175404513318186,0.02458383727382641
44,0.19514856255807211,0.0,0.0,0.014668967242907166,0.0
45,0.18105927665770524,0.0,0.0,0.0,0.0
46,0.1576023173712372,0.0,0.0,0.0,0.0
47,0.17838578859731877,0.01162773527379239,0.0,0.0,0.0
48,0.15003174844240716,0.0,0.06357581535837666,0.0002677425078272183,0.011686104460072696
