"entreprise,service,permettre,mettre,projet","trimestre,million,consolide,dh,milliard","prix,alimentaire,produit,hausse,production","certification,transitaire,cargo,compagnie,aerien","berd,banque,developpement,climatique,europeenn"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.04944571502990816,0.018036637601486504,0.04354508787845303,0.009965568506009648,0.03985869014768599
0.047923804990293556,0.01971645944886125,0.040007729926273376,0.009485515301678338,0.044225690724966196
0.051440058075368014,0.019915185970102528,0.03883164308674377,0.00960412403680106,0.04645492891582166
0.059174517376413306,0.01094535694548275,0.03731601662392595,0.008282993888894637,0.05138948622887477
0.06018825662260695,0.011100195194885152,0.03829001091911053,0.008474112017503446,0.05575359182666212
0.04942595062253833,0.012814944154650459,0.041071535391515715,0.008898279117999711,0.05998745766900303
0.048080957895136014,0.01653339091256146,0.050033230652662374,0.008778973938782379,0.06194190015049402
0.04710334615964178,0.01784637957397554,0.04933319367981425,0.00849098363070925,0.058213624475414415
0.047288751128089015,0.021972108318868408,0.04762159665092733,0.007416171395300321,0.055774624827357164
0.04735747850173806,0.021560383352965735,0.05398015928445837,0.005215502045501118,0.05223598963402254
0.052681580200157986,0.023444641307773708,0.055025304479597845,0.00421548360776164,0.04244674660699405
0.053356479246337365,0.025070928041489582,0.05937354831610488,0.0038266315711760666,0.036111452355036426
0.055513445763521685,0.029749147539682268,0.058869660484536304,0.004888645448252997,0.03604899337087154
0.04663642907097609,0.030162384529263796,0.0574549164211316,0.006535548023296903,0.044126115273970395
0.04701729415281645,0.02717823897220622,0.057822013984461365,0.006299429240952144,0.0386017839185372
0.05052620635900723,0.02776482974570545,0.062118260927845746,0.005895794256131601,0.03519253978130783
0.05364097029458009,0.028135975490046906,0.052649957860965914,0.006276532369776502,0.0362662763951186
0.05953229258763213,0.02665562827623445,0.04848257764116847,0.007099333551745847,0.03793326550519606
0.05665609209461721,0.03565855796096028,0.046784335186326895,0.012045109175188331,0.03885657176117402
0.053959787543982216,0.04796428031165217,0.04107701229444381,0.016334071297285542,0.035175895779739744
